supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
SN2011ht,IIn,0.0036,B,37,2.0950770523651807e-06,55859.558714699735,55909.16117849595,2.1426926760597116,-0.00018424815616338862,42.89145570284087,11.784729672463229
SN2011ht,IIn,0.0036,I,18,2.3334580622809997e-06,55961.277089631796,57955.639387643074,3.3534461997411813,-2.232350505846722e-07,0.3560968800481907,0.359277042704417
SN2011ht,IIn,0.0036,J,18,2.857590543374944e-06,55962.16690539348,60025.32669787711,9.547598085597487,-5.705563186084739e-08,1.5761724530581873,1.6271247092408743
SN2011ht,IIn,0.0036,K,18,4.24619563946313e-06,55955.528112248685,56779.55051803477,0.021193589792620673,6.804518324536268e-05,13.954641283519761,13.186199797813313
SN2011ht,IIn,0.0036,R,28,2.1877616239495517e-06,55873.29999999998,56432.032999438794,2.029712165973075e-09,0.5887802050647839,9.999999997956442,30.00000000067894
SN2011ht,IIn,0.0036,U,20,5.592422830408993e-06,55873.540069583716,55904.73009618554,2.476208632789605,-0.00024472771856735333,26.30726430585879,13.314457034625645
SN2011ht,IIn,0.0036,UVM2,20,5.425003216311501e-06,55875.76314966489,55889.94758835866,2.228574461293136,-0.00047178084687665,17.6374608419877,8.592068910802183
SN2011ht,IIn,0.0036,UVW1,20,5.807644175213112e-06,55872.93999956212,55894.69869487376,2.290010277736409,-0.0003747143606238764,19.9784608693018,8.852526400452266
SN2011ht,IIn,0.0036,UVW2,20,4.309233228186259e-06,55875.263769473284,55890.89459253062,2.209616883075701,-0.000440623549838556,18.15531879258495,8.939560100064606
SN2011ht,IIn,0.0036,V,38,2.0701413487910372e-06,55860.070307339716,55914.01321897701,2.0184914406691234,-0.00013511996041159748,48.364038951775484,13.202144032209919
SN2020nub,IIn,0.01656,G,14,3.0760968147407046e-07,59050.11050024278,59640.611605245205,-0.1342136314702791,-0.19741381144078005,9.999999999629976,30.000000000122927
SN2021adxl,IIn,,G,95,1.8365383433483438e-06,59527.09352,60122.36445521978,-5.362727319420342e-16,-0.0010464634393222625,10.00000000003572,29.999999999988134
SN2021afry,IIn,0.03315,G,95,1.0092528860766854e-07,59558.55414,60154.13968139781,-5.6045325260052625e-09,0.578115907172116,9.999999999996062,30.000000000001315
SN2018cnf,IIn,0.02376,w,12,2.3048358476056942e-08,58338.49896,58921.88394959946,8.686971453742716e-11,0.29808744587368313,9.999999999998707,30.00000000000043
SN2020rc,IIn,0.081,G,14,4.3251383103500796e-08,58708.86199952732,59574.75596750618,8.779983419191112,-8.781004338871536e-07,99.99999999999999,10.37840340290505
PTF10weh,IIn,0.138,R,156,1.4421153515248682e-07,55817.32,56375.493200034325,-1.5419432473893525e-06,0.8586559801234089,10.000000000090301,29.999999999969997
SN2013L,IIn,0.01699,B,22,5.090963695230931e-07,56324.916142631075,56891.94868321198,18.18873996511238,-2.7965391963368202e-06,16.034839543123915,99.68917369259695
SN2013L,IIn,0.01699,U,22,1.3292295883156825e-06,56313.22166894943,57154.893764451095,1.3163015130021696,5.017626837761283e-07,16.972169943249583,3.6939220408641944
SN2013L,IIn,0.01699,UVM2,21,9.401561688035684e-07,56320.65945154326,56890.391990224394,1.0405360714615475e-06,3.346140951564581,11.007902056777878,0.1183515780490416
SN2013L,IIn,0.01699,UVW1,23,1.2145069377157778e-06,56134.091412272224,58112.58409834153,5.440360918020225,0.17647864569413696,12.513797198759818,4.421247337758357
SN2013L,IIn,0.01699,UVW2,23,9.392906516183979e-07,56195.07215263486,57269.935647873346,-0.787229306114093,-0.5174762295915555,9.787916028108123,6.256704933377586
SN2013L,IIn,0.01699,V,21,6.420960525675941e-07,56156.3688086655,56853.14338711591,0.047473576291506024,0.001296927263350913,58.43361374329951,55.82785375182635
